StimType,recording_time,Fs,type,elect,contact,amp,env_max,env_min,env_amp,mod_ratio,distance,d1_amp,d1_env_max,d1_env_min,d1_env_amp,d1_mod_ratio,mv_env_max,mv_env_amp,mv_env_max_norm,mv_env_amp_norm
LF,25.42933333,30000,1,b,6,718.5510851,718.5510851,-827.0002159,772.7756505,2.150927517,43.5,-0.026518986,-0.026518986,0.028458767,-0.027488877,2.95E-06,710.8604861,764.3875507,0.186030823,0.187372555
LF,25.42933333,30000,1,b,5,614.1987361,614.1987361,-713.7661294,663.9824327,2.162109408,47,-0.025277695,-0.025277695,0.027618058,-0.026447877,2.72E-06,624.7856795,674.7995324,0.119391439,0.119554896
LF,25.42933333,30000,1,b,4,541.6072172,541.6072172,-633.6738108,587.640514,2.169987753,50.5,-0.01448491,-0.01448491,0.015807187,-0.015146049,2.00E-06,556.2034393,603.1943462,0.066294854,0.065350147
LF,25.42933333,30000,1,b,3,512.8043647,512.8043647,-603.115819,557.9600918,2.176112881,54,-0.008224587,-0.008224587,0.008181722,-0.008203155,2.98E-06,512.8155626,558.6063457,0.032703824,0.031597265
LF,25.42933333,30000,1,b,2,484.0351059,484.0351059,-576.4017565,530.2184312,2.190826346,57.5,-0.007956026,-0.007956026,0.007600156,-0.007778091,3.84E-06,484.6505517,530.5639933,0.010898385,0.010369351
LF,25.42933333,30000,1,b,1,457.1121846,457.1121846,-549.914729,503.5134568,2.203019188,61,-0.007692263,-0.007692263,0.007567722,-0.007629993,3.48E-06,470.5736453,516.865944,0,0
LF,25.42933333,30000,1,c,15,5008.938657,5008.938657,-5132.951003,5070.94483,2.024758208,12,-0.354269429,-0.354269429,0.248980277,-0.301624853,3.03E-05,4388.967157,4543.101337,1,1
LF,25.42933333,30000,1,c,14,3768.995656,3768.995656,-4261.520034,4015.257845,2.130677884,15.5,-0.311869054,-0.311869054,0.303232012,-0.307550533,5.79E-06,3867.929864,4001.431258,0.862978625,0.861756216
LF,25.42933333,30000,1,c,13,2825.855278,2825.855278,-3010.326921,2918.0911,2.065279933,19,-0.232636828,-0.232636828,0.282536695,-0.257586762,-9.11E-06,2911.796264,3048.499819,0.611536469,0.61855126
LF,25.42933333,30000,1,c,12,2140.537858,2140.537858,-2283.76317,2212.150514,2.066910899,22.5,-0.151012314,-0.151012314,0.159589348,-0.155300831,7.24E-07,2245.054073,2320.408966,0.436197904,0.432729597
LF,25.42933333,30000,1,c,11,1768.769083,1768.769083,-1893.201485,1830.985284,2.070349716,26,-0.089013757,-0.089013757,0.092821781,-0.090917769,1.42E-06,1808.916167,1872.953976,0.321503205,0.31853117
