S_ID,ID,StimType,TaskStage,region,ROI,hemisphere,BOLD
TIDES_P2T_S21,21,Sham,Encode,RH_post_elect,Post,R,0.7004
TIDES_P2T_S21,21,TI 1:1,Recall,RH_post_elect,Post,R,0.1457
TIDES_P2T_S21,21,TI 1:3,Recall,RH_post_elect,Post,R,-0.1457
TIDES_P2T_S21,21,Sham,Recall,RH_post_elect,Post,R,0.2238
TIDES_P2T_S22,22,TI 1:1,Encode,RH_post_elect,Post,R,0.2961
TIDES_P2T_S22,22,TI 1:3,Encode,RH_post_elect,Post,R,0.1742
TIDES_P2T_S22,22,Sham,Encode,RH_post_elect,Post,R,0.2599
TIDES_P2T_S22,22,TI 1:1,Recall,RH_post_elect,Post,R,0.06889
TIDES_P2T_S22,22,TI 1:3,Recall,RH_post_elect,Post,R,-0.06847
TIDES_P2T_S22,22,Sham,Recall,RH_post_elect,Post,R,-0.004539
