S_ID,Run,StimType,blocks_1,blocks_2,blocks_3,blocks_4,blocks_5,blocks_6,stimdur_sec,stimdur_min
13,1,1,1,2,3,4,NA,NA,610.920060599999,10.18200101
13,1,1,5,6,7,8,NA,NA,591.3331317,9.855552195
13,1,1,9,10,11,12,NA,NA,560.1191621,9.33531936833333
13,2,1,1,3,5,6,7,11,325.4754913,5.42459152166666
13,2,1,2,4,8,9,10,12,364.793088800001,6.07988481333335
13,1,0,1,2,3,4,NA,NA,683.137723000007,11.3856287166668
13,1,0,5,6,7,8,NA,NA,584.392827200005,9.73988045333341
13,1,0,9,10,11,12,NA,NA,574.167922699999,9.56946537833331
13,2,0,1,3,5,6,7,11,347.606299399995,5.79343832333325
13,2,0,2,4,8,9,10,12,368.460620700003,6.14101034500006
14,1,0,1,2,3,4,NA,NA,624.161136699986,10.4026856116664
14,1,0,5,6,7,8,NA,NA,646.765584299981,10.7794264049997
14,1,0,9,10,11,12,NA,NA,628.464694900002,10.4744115816667
14,2,0,1,3,5,6,8,12,499.663451200002,8.3277241866667
14,2,0,2,4,7,9,10,11,448.706211700017,7.47843686166695
14,1,1,1,2,3,4,NA,NA,586.197645899985,9.76996076499975
14,1,1,5,6,7,8,NA,NA,605.815781199984,10.0969296866664
14,1,1,9,10,11,12,NA,NA,617.961204700026,10.2993534116671
14,2,1,1,3,5,6,8,12,419.776198899985,6.99626998166641
14,2,1,2,4,7,9,10,11,415.968556300009,6.93280927166682
15,1,1,1,2,3,4,NA,NA,763.555433599977,12.7259238933329
15,1,1,5,6,7,8,NA,NA,810.720371000003,13.5120061833334
15,1,1,9,10,11,12,NA,NA,790.841129200009,13.1806854866668
15,2,1,1,4,5,6,7,10,571.005344200006,9.51675573666677
15,2,1,2,3,8,9,11,12,529.777468100016,8.82962446833359
15,1,0,1,2,3,4,NA,NA,694.248269200001,11.5708044866667
15,1,0,5,6,7,8,NA,NA,783.6173383,13.0602889716667
15,1,0,9,10,11,12,NA,NA,765.211013799999,12.7535168966666
15,2,0,1,4,5,6,7,10,532.301230699999,8.87168717833332
15,2,0,2,3,8,9,11,12,498.125590899999,8.30209318166665
16,1,1,1,2,3,4,NA,NA,733.2207029,12.2203450483333
16,1,1,5,6,7,8,NA,NA,673.5925555,11.2265425916667
16,1,1,9,10,11,12,NA,NA,677.1148824,11.28524804
16,2,1,1,2,6,9,11,12,529.048094,8.81746823333333
16,2,1,3,4,5,7,8,10,531.381381,8.85635635
16,1,0,1,2,3,4,NA,NA,625.653346899984,10.4275557816664
16,1,0,5,6,7,8,NA,NA,691.173522900004,11.5195587150001
16,1,0,9,10,11,12,NA,NA,680.200801200001,11.33668002
16,2,0,1,2,6,9,11,12,520.428732400003,8.67381220666672
16,2,0,3,4,5,7,8,10,492.749426199996,8.21249043666661
17,1,0,1,2,3,4,NA,NA,712.916405600008,11.8819400933335
17,1,0,5,6,7,8,NA,NA,731.96175029999,12.1993625049998
17,1,0,9,10,11,12,NA,NA,788.080461300007,13.1346743550001
17,2,0,1,2,5,8,9,10,688.459689900003,11.474328165
17,2,0,3,4,6,7,11,12,645.697131000008,10.7616188500001
17,1,1,1,2,3,4,NA,NA,701.86071920002,11.6976786533337
17,1,1,5,6,7,8,NA,NA,733.596799299994,12.2266133216666
17,1,1,9,10,11,12,NA,NA,708.548508000007,11.8091418000001
17,2,1,1,2,5,8,9,10,578.136133499997,9.63560222499994
17,2,1,3,4,6,7,11,12,552.812939900003,9.21354899833338
18,1,0,1,2,3,4,NA,NA,741.616295899999,12.3602715983333
18,1,0,5,6,7,8,NA,NA,690.777144399999,11.5129524066667
18,1,0,9,10,11,12,NA,NA,704.4747484,11.7412458066667
18,2,0,2,4,5,6,10,12,496.108409599998,8.26847349333329
18,2,0,1,3,7,8,9,11,502.714824299997,8.37858040499996
18,1,1,1,2,3,4,NA,NA,706.682564199902,11.778042736665
18,1,1,5,6,7,8,NA,NA,685.092896099901,11.4182149349983
18,1,1,9,10,11,12,NA,NA,664.07687999995,11.0679479999992
18,2,1,2,4,5,6,10,12,465.36318580003,7.75605309666716
18,2,1,1,3,7,8,9,11,508.303783599986,8.47172972666643
19,1,1,1,2,3,4,NA,NA,646.4234667,10.773724445
19,1,1,5,6,7,8,NA,NA,691.41829069999994,11.5236381783333
19,1,1,9,10,11,12,NA,NA,653.8006796,10.8966779933333
19,2,1,2,3,5,6,9,10,545.9209454,9.09868242333334
19,2,1,1,4,7,8,11,12,516.499659999999,8.60832766666666
