ID,StimType,Region,ROI,Ratio,VolBrain,Mean,Std,Median,Min,Max,MeanTEf,StdTEf,MedianTEf
19,TI 1:1,Hippocampus,Ant,1,12076,0.174509223,0.017193452,0.17335169,0.09555202,0.310566455,0.217941015,0.021127982,0.216778576
19,TI 1:1,Hippocampus,Mid,1,13613,0.191450685,0.027418221,0.186925605,0.083010875,0.334567964,0.204399441,0.027566962,0.198193066
19,TI 1:1,Hippocampus,Post,1,11828,0.153795445,0.018132691,0.152418323,0.069010898,0.27589047,0.189522319,0.017608819,0.188386194
19,TI 1:3,Electrode,Ant,1.5,18106,0.130474524,0.091572726,0.121559637,0,0.4693096,0.17481398,0.092627433,0.169107595
19,TI 1:3,Electrode,Mid,1.5,18153,0.098910728,0.0695792,0.089031549,0,0.404258154,0.255021561,0.101071133,0.252636829
19,TI 1:3,Electrode,Post,1.5,17995,0.045544759,0.026728736,0.046444134,0,0.164669578,0.238607742,0.133988999,0.240104729
19,TI 1:3,Hippocampus,Ant,1.5,12076,0.130686404,0.013935023,0.130191982,0.072696522,0.200841948,0.196225119,0.018669677,0.194983767
19,TI 1:3,Hippocampus,Mid,1.5,13613,0.105409734,0.016104609,0.103918768,0.054625362,0.211250946,0.201189427,0.027638326,0.196074117
19,TI 1:3,Hippocampus,Post,1.5,11828,0.076897722,0.009066345,0.076209161,0.034505449,0.137945235,0.207385757,0.01956862,0.205573406
20,TI 1:1,Electrode,Ant,1,19911,0.148997977,0.099796953,0.14735718,0,0.487450344,0.261651493,0.13456868,0.268398567
20,TI 1:1,Electrode,Mid,1,17634,0.171548013,0.133063485,0.142948417,0,0.734081301,0.28640826,0.14172244,0.282190836
20,TI 1:1,Electrode,Post,1,18039,0.100723978,0.083167705,0.083267081,0,0.455715742,0.223671379,0.13728909,0.204672425
20,TI 1:1,Hippocampus,Ant,1,14171,0.235795121,0.028145399,0.234668568,0.103275307,0.374293566,0.258201535,0.027716538,0.262614451
20,TI 1:1,Hippocampus,Mid,1,15269,0.208958904,0.035837799,0.203242749,0.070798293,0.39284265,0.239603742,0.031019171,0.241015561
20,TI 1:1,Hippocampus,Post,1,10175,0.147518554,0.020074048,0.147814497,0.065856881,0.21824272,0.220270014,0.022927912,0.222006895
20,TI 1:3,Electrode,Ant,1.5,19911,0.15911511,0.103902431,0.161253271,0,0.47624053,0.208413063,0.110528878,0.210215271
20,TI 1:3,Electrode,Mid,1.5,17634,0.105348092,0.080079777,0.086133959,0,0.440485399,0.31343401,0.174288461,0.307567806
20,TI 1:3,Electrode,Post,1.5,18039,0.052354941,0.041526019,0.044387746,0,0.227857871,0.282318016,0.175775795,0.266856382
20,TI 1:3,Hippocampus,Ant,1.5,14171,0.140154647,0.015956653,0.141752452,0.072030209,0.221026167,0.247147656,0.027518917,0.248862874
20,TI 1:3,Hippocampus,Mid,1.5,15269,0.104940504,0.018049827,0.102307759,0.036552776,0.196421325,0.254465109,0.0339723,0.261051908
20,TI 1:3,Hippocampus,Post,1.5,10175,0.073759277,0.010037024,0.073907249,0.032928441,0.10912136,0.256645743,0.025251986,0.258443654
21,TI 1:1,Electrode,Ant,1,18328,0.20406514,0.120265018,0.215478218,0,0.574964856,0.320579091,0.157875024,0.330195595
21,TI 1:1,Electrode,Mid,1,19576,0.14934038,0.132951907,0.113716615,0,0.816918792,0.238923946,0.146295661,0.206585841
21,TI 1:1,Electrode,Post,1,18588,0.109237005,0.087738978,0.089379966,0,0.461076845,0.191469212,0.115895814,0.168275006
21,TI 1:1,Hippocampus,Ant,1,9444,0.215597776,0.024493171,0.213146679,0.108311027,0.332881957,0.259816013,0.030244313,0.259353291
